33,12330,Clark,Harris,LS,46,,t,f,https://playible-api-dev.s3.amazonaws.com/media/athlete/nfl/images/12330-clark-harris.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/12330-clark-harris.svg,7
40,13913,Kelvin,Beachum,OT,68,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/13913-kelvin-beachum.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/13913-kelvin-beachum.svg,1
47,14688,Justin,Tucker,K,9,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/14688-justin-tucker.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/14688-justin-tucker.svg,3
49,9201,Thomas,Morstead,P,4,,t,f,https://playible-api-dev.s3.amazonaws.com/media/athlete/nfl/images/9201-thomas-morstead.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/9201-thomas-morstead.svg,20
56,13723,Nick,Foles,QB,9,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/13723-nick-foles.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/13723-nick-foles.svg,14
60,11151,Tyson,Alualu,DE,94,,f,t,https://playible-api-dev.s3.amazonaws.com/media/athlete/nfl/images/11151-tyson-alualu.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/11151-tyson-alualu.svg,27
64,11023,Carlos,Dunlap II,DE,8,,t,f,https://playible-api-dev.s3.amazonaws.com/media/athlete/nfl/images/11023-carlos-dunlap%20ii.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/11023-carlos-dunlap%20ii.svg,16
65,14285,Casey,Hayward,CB,29,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/14285-casey-hayward.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/14285-casey-hayward.svg,2
69,11047,Colt,McCoy,QB,12,,t,f,https://playible-api-dev.s3.amazonaws.com/media/athlete/nfl/images/11047-colt-mccoy.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/11047-colt-mccoy.svg,1
77,8750,Ryan,Succop,K,3,,t,f,https://playible-api-dev.s3.amazonaws.com/media/athlete/nfl/images/8750-ryan-succop.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/8750-ryan-succop.svg,30
79,14461,Harrison,Smith,SS,22,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/14461-harrison-smith.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/14461-harrison-smith.svg,21
84,13722,Vinny,Curry,DE,99,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/13722-vinny-curry.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/13722-vinny-curry.svg,25
